epoch,lr-AdamW,step,train/corr,train/dtw_score,train/loss,val/corr,val/dtw_score,val/loss
,5e-05,0,,,,,,
0,,47,,,,0.10546875,11402990.02991287,5.189476490020752
0,,47,0.05259959027171135,2724593.1447594403,0.5051026344299316,,,
,0.0002,48,,,,,,
1,,95,,,,0.240234375,10854540.112328222,4.974211692810059
1,,95,0.2701212465763092,2405086.0946358577,0.4669765532016754,,,
,0.00035,96,,,,,,
2,,143,,,,0.2216796875,10997002.084330793,5.031394958496094
2,,143,0.5105387568473816,1692164.6692470962,0.38042008876800537,,,
,0.0005,144,,,,,,
3,,191,,,,0.265625,10514318.585419014,4.842077255249023
3,,191,0.6022135615348816,1318884.9175951667,0.3306221067905426,,,
,0.0006500000000000001,192,,,,,,
4,,239,,,,0.26953125,10568628.06298076,4.858349800109863
4,,239,0.6842448115348816,970733.5254752291,0.27910342812538147,,,
,0.0008,240,,,,,,
5,,287,,,,0.248046875,10835979.28347096,4.968645095825195
5,,287,0.7367350459098816,741845.6971642021,0.24120420217514038,,,
,0.0007972401454600673,288,,,,,,
6,,335,,,,0.2490234375,10500447.139742084,4.826625347137451
6,,335,0.77783203125,549601.8568970527,0.20489315688610077,,,
,0.000789004106395021,336,,,,,,
7,,383,,,,0.267578125,10490529.218834575,4.8251752853393555
7,,383,0.8014323115348816,467610.84469451656,0.18770480155944824,,,
,0.0007754217700608881,384,,,,,,
8,,431,,,,0.2392578125,10853419.96340671,4.971185684204102
8,,431,0.818115234375,397483.1274062305,0.17200519144535065,,,
,0.0007567073380153524,432,,,,,,
9,,479,,,,0.251953125,10730623.33067746,4.926934242248535
9,,479,0.8329264521598816,340969.4758596628,0.15839700400829315,,,
,0.0007331559480312317,480,,,,,,
10,,527,,,,0.244140625,10842880.979195757,4.971994876861572
10,,527,0.8436686396598816,306718.44804446533,0.14998649060726166,,,
,0.0007051390195974941,528,,,,,,
11,,575,,,,0.234375,10917825.754156198,4.998472213745117
11,,575,0.8518880009651184,281779.5802116069,0.14319540560245514,,,
,0.0006730983964120414,576,,,,,,
12,,623,,,,0.240234375,10875935.76716894,4.98514461517334
12,,623,0.8592122197151184,257924.12644606608,0.13658536970615387,,,
,0.0006375393782426488,624,,,,,,
13,,671,,,,0.2333984375,10720995.560352212,4.920476913452148
13,,671,0.865478515625,241484.04225596515,0.13186751306056976,,,
,0.0005990227520477755,672,,,,,,
14,,719,,,,0.2314453125,10927324.052075107,5.003677845001221
14,,719,0.8709309697151184,229536.72312273257,0.12830308079719543,,,
,0.0005581559480312316,720,,,,,,
15,,767,,,,0.23046875,10972857.914091446,5.025402069091797
15,,767,0.8790690302848816,208508.0570247031,0.122085340321064,,,
,0.0005155834601050037,768,,,,,,
16,,815,,,,0.2314453125,10918278.716246929,5.00382137298584
16,,815,0.8821614384651184,197322.89770540848,0.11856634169816971,,,
,0.00047197668183525973,816,,,,,,
17,,863,,,,0.2314453125,10878418.777213557,4.985054969787598
17,,863,0.8873698115348816,183054.25588620396,0.11396808177232742,,,
,0.00042802331816474035,864,,,,,,
18,,911,,,,0.2255859375,10972039.643244501,5.024157524108887
18,,911,0.8929850459098816,171248.43821714295,0.11003401130437851,,,
,0.00038441653989499644,912,,,,,,
19,,959,,,,0.234375,10799330.6533314,4.951844215393066
19,,959,0.8955891728401184,166330.01009398393,0.10828247666358948,,,
,0.0003572571770756844,960,,,,,,
20,,1007,,,,0.228515625,10934701.106756685,5.008039474487305
20,,1007,0.899658203125,159722.34391580024,0.10614541172981262,,,
,0.0002861530421019353,1008,,,,,,
21,,1055,,,,0.2236328125,11002079.095876588,5.038475036621094
21,,1055,0.9037272334098816,155627.63915740923,0.10469440370798111,,,
,0.00019826349779306118,1056,,,,,,
22,,1103,,,,0.2275390625,10945018.00986296,5.014742851257324
22,,1103,0.9098307490348816,147742.0268910524,0.10170026868581772,,,
,0.00012715936281931204,1104,,,,,,
23,,1151,,,,0.2333984375,10874928.008835917,4.983318328857422
23,,1151,0.9132487177848816,140138.8156252353,0.09895271062850952,,,
,0.0001,1152,,,,,,
24,,1199,,,,0.2265625,10885780.725711504,4.990697860717773
24,,1199,0.9153645634651184,137651.34117925662,0.09796947985887527,,,
,0.0001,1200,,,,,,
25,,1247,,,,0.228515625,10906422.55241416,4.99852180480957
25,,1247,0.9169921875,135188.81285502706,0.09709697961807251,,,
,0.0001,1248,,,,,,
26,,1295,,,,0.22265625,10992830.665683104,5.035447120666504
26,,1295,0.9187825322151184,135319.3379406406,0.09718013554811478,,,
,0.0001,1296,,,,,,
27,,1343,,,,0.22265625,10944060.335291058,5.015046119689941
27,,1343,0.91845703125,133709.9998766268,0.09655968099832535,,,
,0.0001,1344,,,,,,
28,,1391,,,,0.220703125,10945254.808828425,5.015214920043945
28,,1391,0.9197590947151184,133039.99885662858,0.09633046388626099,,,
,0.0001,1392,,,,,,
29,,1439,,,,0.21875,10976223.471358418,5.027548313140869
29,,1439,0.9195963740348816,128566.58865161419,0.09472460299730301,,,
,0.0001,1440,,,,,,
30,,1440,,,,0.2275390625,10934265.75504216,5.009636878967285
30,,1440,0.9153645634651184,137056.18905011157,0.09734880179166794,,,
